entry_date,exit_date,signal,direction,entry_z,entry_spread_pp,exit_spread_pp,hold_days,exit_reason,gross_bps,net_bps,rf_prob,hmm_state_at_entry,strategy
2025-04-21,2025-05-05,z<-2,long_spread,-2.265247110923237,-0.4570000000000003,-0.4370000000000003,10,max_hold,2.0000000000000018,1.0000000000000018,0.812578801427331,1,rf_filtered
2025-07-04,2025-07-18,z<-2,long_spread,-2.54198050662089,-0.4620000000000002,-0.43900000000000006,10,max_hold,2.300000000000013,1.3000000000000131,0.8403820743497986,1,rf_filtered
2025-09-17,2025-09-18,z>+2,short_spread,2.144193998853993,-0.39700000000000024,-0.43599999999999994,1,z_cross,3.89999999999997,2.89999999999997,0.6991179394650762,1,rf_filtered
2025-10-14,2025-10-28,z>+2,short_spread,2.766739406121165,-0.3860000000000001,-0.3740000000000001,10,max_hold,-1.200000000000001,-2.200000000000001,0.7745195316637267,0,rf_filtered
2025-11-03,2025-11-11,z>+2,short_spread,2.1582680926993127,-0.3740000000000001,-0.42700000000000005,6,z_cross,5.299999999999994,4.299999999999994,0.6072894008468311,0,rf_filtered
2025-11-25,2025-12-09,z>+2,short_spread,2.215214961818453,-0.34699999999999953,-0.35299999999999976,10,max_hold,0.6000000000000227,-0.39999999999997726,0.7093630899028732,0,rf_filtered
2025-12-10,2025-12-24,z>+2,short_spread,2.409718710191769,-0.32299999999999995,-0.30299999999999994,10,max_hold,-2.0000000000000018,-3.0000000000000018,0.6938083805599287,0,rf_filtered
2026-03-06,2026-03-20,z<-2,long_spread,-2.170194567720782,-0.3700000000000001,-0.383,10,max_hold,-1.29999999999999,-2.29999999999999,0.7630900228856111,0,rf_filtered
2026-03-24,2026-04-07,z<-2,long_spread,-2.562040946313588,-0.41000000000000014,-0.39500000000000046,10,max_hold,1.499999999999968,0.499999999999968,0.8381729915509324,1,rf_filtered
2024-01-02,2024-01-08,z<-2,long_spread,-2.0424300206469055,-0.38000000000000034,-0.30400000000000027,4,z_cross,7.600000000000007,6.600000000000007,,1,hmm_filtered
2024-01-24,2024-01-31,z>+2,short_spread,2.3017883535792567,-0.2829999999999995,-0.3550000000000004,5,z_cross,7.200000000000095,6.200000000000095,,1,hmm_filtered
2024-02-01,2024-02-15,z>+2,short_spread,2.5663730535568723,-0.2719999999999998,-0.2759999999999998,10,max_hold,0.40000000000000036,-0.5999999999999996,,1,hmm_filtered
2024-06-17,2024-06-28,z<-2,long_spread,-2.1395897853500245,-0.30699999999999994,-0.2759999999999998,9,z_cross,3.100000000000014,2.100000000000014,,1,hmm_filtered
2024-07-01,2024-07-15,z<-2,long_spread,-2.690734731170709,-0.3330000000000011,-0.35599999999999987,10,max_hold,-2.29999999999988,-3.29999999999988,,1,hmm_filtered
2024-07-22,2024-08-05,z<-2,long_spread,-2.0103072665785175,-0.35299999999999976,-0.3200000000000003,10,max_hold,3.2999999999999474,2.2999999999999474,,1,hmm_filtered
2025-04-02,2025-04-16,z<-2,long_spread,-4.142919540882565,-0.42100000000000026,-0.43000000000000016,10,max_hold,-0.8999999999999897,-1.8999999999999897,,1,hmm_filtered
2025-04-21,2025-05-05,z<-2,long_spread,-2.265247110923237,-0.4570000000000003,-0.4370000000000003,10,max_hold,2.0000000000000018,1.0000000000000018,,1,hmm_filtered
2025-07-04,2025-07-18,z<-2,long_spread,-2.54198050662089,-0.4620000000000002,-0.43900000000000006,10,max_hold,2.300000000000013,1.3000000000000131,,1,hmm_filtered
2025-09-17,2025-09-18,z>+2,short_spread,2.144193998853993,-0.39700000000000024,-0.43599999999999994,1,z_cross,3.89999999999997,2.89999999999997,,1,hmm_filtered
2026-03-24,2026-04-07,z<-2,long_spread,-2.562040946313588,-0.41000000000000014,-0.39500000000000046,10,max_hold,1.499999999999968,0.499999999999968,,1,hmm_filtered
